"EDAD","POB_TOTAL","HOMBRES","MUJERES"
"00 años",3447,1740,1707
"01 años",4010,2036,1974
"02 años",4070,2120,1950
"03 años",4293,2204,2089
"04 años",4646,2326,2320
"05 años",4584,2368,2216
"06 años",4540,2310,2230
"07 años",4689,2346,2343
"08 años",4914,2475,2439
"09 años",4549,2282,2267
"10 años",5260,2670,2590
"11 años",4831,2397,2434
"12 años",5199,2683,2516
"13 años",5033,2494,2539
"14 años",5247,2656,2591
"15 años",5389,2789,2600
"16 años",5203,2689,2514
"17 años",5592,2853,2739
"18 años",6183,3182,3001
"19 años",5392,2751,2641
"20 años",6519,3333,3186
"21 años",5556,2820,2736
"22 años",6401,3168,3233
"23 años",6066,3018,3048
"24 años",6099,3009,3090
"25 años",6832,3378,3454
"26 años",6340,3072,3268
"27 años",6115,2975,3140
"28 años",6685,3305,3380
"29 años",5755,2843,2912
"30 años",8120,4028,4092
"31 años",5043,2445,2598
"32 años",6649,3230,3419
"33 años",6091,2924,3167
"34 años",5832,2855,2977
"35 años",6889,3348,3541
"36 años",6393,3033,3360
"37 años",5302,2598,2704
"38 años",6296,2988,3308
"39 años",5227,2520,2707
"40 años",7478,3591,3887
"41 años",4344,2036,2308
"42 años",6455,2965,3490
"43 años",5454,2543,2911
"44 años",5017,2379,2638
"45 años",7165,3378,3787
"46 años",5596,2569,3027
"47 años",5685,2730,2955
"48 años",6103,2835,3268
"49 años",5527,2562,2965
"50 años",7802,3606,4196
"51 años",4487,2021,2466
"52 años",6109,2791,3318
"53 años",5167,2351,2816
"54 años",5335,2419,2916
"55 años",5641,2603,3038
"56 años",5366,2494,2872
"57 años",4445,2060,2385
"58 años",4737,2113,2624
"59 años",4416,1999,2417
"60 años",6076,2735,3341
"61 años",3479,1486,1993
"62 años",4438,1999,2439
"63 años",4045,1772,2273
"64 años",3795,1668,2127
"65 años",4351,1895,2456
"66 años",2932,1262,1670
"67 años",2989,1320,1669
"68 años",3424,1510,1914
"69 años",2596,1110,1486
"70 años",3180,1340,1840
"71 años",2069,867,1202
"72 años",2727,1160,1567
"73 años",2223,906,1317
"74 años",2201,919,1282
"75 años",2142,910,1232
"76 años",1795,755,1040
"77 años",1502,641,861
"78 años",1545,601,944
"79 años",1411,581,830
"80 años",1656,680,976
"81 años",966,389,577
"82 años",1284,498,786
"83 años",1140,392,748
"84 años",1128,441,687
"85 años",1012,409,603
"86 años",858,318,540
"87 años",669,222,447
"88 años",549,209,340
"89 años",550,206,344
"90 años",545,179,366
"91 años",312,110,202
"92 años",329,111,218
"93 años",261,92,169
"94 años",195,72,123
"95 años",145,38,107
"96 años",128,44,84
"97 años",89,38,51
"98 años",70,29,41
"99 años",36,15,21
"100 años y más",65,29,36
"No especificado",178,88,90
